N,P,K,temperature,humidity,ph,rainfall,crop_fertilizer
112,112,133,27.96346586310824,62.72236057037334,4.6389597897791255,262.2899618561641,Rice || Urea
102,48,33,28.02713261166862,89.1816724095687,5.779518306671053,61.22502096052059,Cotton || Ammonium Sulfate
24,123,83,23.89351945261709,38.051205418149266,6.886631567988361,269.04864693477657,Maize || NPK 15-15-15
116,44,175,22.320647296291614,86.81340817989857,6.919207047375855,261.1175121032352,Rice || Urea
81,10,31,23.8399615224958,55.45686809855658,6.420504916056837,52.95983012344934,Cotton || Ammonium Sulfate
30,33,163,22.78897133807169,88.97076590577859,7.762662163258534,126.47707304597505,Sugarcane || Muriate of Potash
112,66,180,30.992804414539783,91.45279438048908,4.750888685657835,235.15441367184076,Rice || Urea
131,109,192,15.519241309305386,75.25189322011435,7.761951062320543,186.77837091505626,Rice || Urea
84,79,48,17.13861973536938,74.86542719556067,6.479016961742815,226.9825464116249,Rice || Urea
97,50,166,16.693473938203013,62.165260262524406,5.035042780308009,212.568001309573,Rice || Urea
126,63,29,18.82423521315288,85.13241347262245,8.04280765416191,159.22482715051927,Maize || NPK 15-15-15
109,55,50,25.656718888321166,92.69676550599699,7.096915118163854,49.89233102840789,Cotton || Ammonium Sulfate
113,69,191,14.891427430793687,81.50490802034716,5.154182747296558,180.22436849548023,Rice || Urea
62,117,157,34.57240167848911,72.31620402540256,4.634598893596106,51.65599673423103,Sugarcane || Muriate of Potash
11,69,117,19.73139981402028,71.4075737492802,5.064438593330597,184.8944122084314,Cotton || Ammonium Sulfate
97,66,156,16.225987674186406,85.96819409501974,6.935191840721574,232.09860699848278,Rice || Urea
47,40,93,29.566154049554324,67.4722259462779,5.217184941040194,180.39801968846047,Cotton || Ammonium Sulfate
139,93,120,12.990243815582302,83.23159317492936,5.4030522995001125,279.28523309480727,Rice || Urea
30,33,75,28.11918268672827,65.53311531045475,4.600558903025257,149.40796004330394,Cotton || Ammonium Sulfate
67,98,167,30.153159197588995,38.74665649843545,7.391722688954415,219.71859126495698,Cotton || Ammonium Sulfate
31,45,62,17.5878298160547,58.036820534249316,7.741457599037748,200.1311900180578,Wheat || DAP
98,94,43,13.09106590953449,61.66645746028992,7.687392707088493,277.9436059739411,Rice || Urea
58,39,159,21.45477933190569,43.49703469919703,5.010272605457137,211.17256121850522,Cotton || Ammonium Sulfate
68,33,76,14.563449986290347,41.14977975135277,8.113204509555038,79.36737555025346,Wheat || DAP
24,117,143,15.028424091506764,67.12789697941724,7.18911531789632,269.32424954013777,Wheat || DAP
60,115,216,18.610792017566478,40.10861819336493,8.090114489507458,200.26653434698272,Wheat || DAP
117,39,36,19.68216604029574,53.17671007340503,6.288642018122655,54.241175393533574,Cotton || Ammonium Sulfate
64,95,19,25.779228866556934,79.67581855778457,6.247819444334791,197.81639338830698,Maize || NPK 15-15-15
73,101,82,29.63818902307834,92.86593077407885,7.638146074739581,251.94865760194602,Maize || NPK 15-15-15
60,16,105,27.412044462624806,78.07223483311571,4.873191421906974,178.490046877606,Cotton || Ammonium Sulfate
30,44,57,15.857368769527437,94.5575329071722,6.583496146539543,124.96471312768269,Wheat || DAP
82,64,79,16.47423684376829,76.90027827676417,7.845536942524903,237.01831217694783,Rice || Urea
27,101,196,34.848000494615775,52.62766823925965,7.820770252278285,227.80288196939907,Cotton || Ammonium Sulfate
98,23,109,26.517160191666953,75.32315243032171,8.324531425369475,170.6037170155122,Cotton || Ammonium Sulfate
69,129,68,34.61838365533991,77.12940591181423,7.293090374122186,77.04682477501608,Maize || NPK 15-15-15
23,19,11,21.660209294316733,57.30361907698764,5.331082517758913,100.23675652556352,Cotton || Ammonium Sulfate
18,89,166,27.97440019321442,36.06283103656334,4.581121259578323,217.23615332466537,Cotton || Ammonium Sulfate
99,25,205,25.61524881741988,77.19198708652922,6.417663194508408,233.4597196947826,Rice || Urea
62,63,74,20.297210735332026,36.3020057165325,6.554815462490222,107.02366672983754,Maize || NPK 15-15-15
139,104,92,24.21779967287348,72.87128468360427,5.461050337995726,128.3164185248288,Maize || NPK 15-15-15
93,115,163,25.064762797500233,44.816989324553305,4.998789788494413,58.631652459950836,Cotton || Ammonium Sulfate
101,98,19,17.220045343673643,68.93621166488259,6.844832664762036,211.23086760795994,Rice || Urea
120,86,62,20.190269681795023,65.234781522836,7.557022696096565,40.858610704007525,Maize || NPK 15-15-15
17,79,88,32.57665351318137,35.81081853837095,8.472616414360642,51.169965092576334,Maize || NPK 15-15-15
44,53,68,35.810494225807304,56.771949019706206,7.533210468842074,41.04257626818158,Cotton || Ammonium Sulfate
90,82,159,21.354646432177788,71.06547004377816,7.674529657022324,194.876700001028,Rice || Urea
59,54,188,19.981279337434472,85.91639311392679,6.96584351291519,140.17291064813116,Wheat || DAP
113,109,57,17.075126278868947,88.31852683019103,8.44369063588007,111.41122272239926,Maize || NPK 15-15-15
11,65,158,29.64077038491511,64.0309982019934,7.059825540458282,259.0482424857065,Sugarcane || Muriate of Potash
63,116,132,20.40059224332477,78.70534923796629,7.941013145598817,86.2726707223856,Wheat || DAP
115,93,31,37.681488016578896,53.98727459200746,8.283138584963822,133.44832249153615,Maize || NPK 15-15-15
13,91,109,20.467804853662784,55.53118434551945,8.219434002002243,265.67483222266037,Wheat || DAP
63,116,107,22.247537216348334,46.667811150938824,6.025661375133426,142.5055750808902,Cotton || Ammonium Sulfate
53,66,167,27.686689101512904,68.71688659959436,4.814648233257035,173.12648455529387,Sugarcane || Muriate of Potash
23,30,34,32.843791622973924,53.87384905564191,5.187494810156988,59.280847976677016,Cotton || Ammonium Sulfate
104,77,37,24.207485298986477,40.0622537863103,4.7368932215864294,229.63993285443095,Rice || Urea
57,59,202,22.98905687851292,76.10036519979073,4.921587739316561,141.46210650117717,Sugarcane || Muriate of Potash
24,42,122,37.88658367346501,77.46519245632389,5.23860498357479,232.12362990363602,Sugarcane || Muriate of Potash
49,100,54,12.272834669638556,56.59954512674347,5.8643772663496065,100.91143421343811,Maize || NPK 15-15-15
91,16,77,35.27169751013239,39.603403967361366,6.674158586300303,141.3949001347384,Cotton || Ammonium Sulfate
120,79,16,15.877661474433173,60.57786304420556,7.3467282374203435,228.77174472760248,Rice || Urea
62,24,58,32.43405718143175,61.540127483012924,5.343709344426047,273.7306640904735,Cotton || Ammonium Sulfate
33,91,146,28.06622055600375,75.12025309387357,7.190089616952557,54.31012585294453,Sugarcane || Muriate of Potash
133,41,173,20.888029422950396,53.92498347552101,7.317036298009679,234.98948258053704,Rice || Urea
